52364E1A,Ch.1[C],Ch.2[%]
2020-06-04 02:47:34,27.6,73
2020-06-04 02:48:34,27.6,73
2020-06-04 02:49:34,27.6,73
2020-06-04 02:50:34,27.6,73
2020-06-04 02:51:34,27.6,73
2020-06-04 02:52:34,27.7,73
2020-06-04 02:53:34,27.7,73
2020-06-04 02:54:34,27.7,73
2020-06-04 02:55:34,27.7,73
2020-06-04 02:56:34,27.7,73
2020-06-04 02:57:34,27.7,73
2020-06-04 02:58:34,27.6,73
2020-06-04 02:59:34,27.6,73
2020-06-04 03:00:34,27.6,73
2020-06-04 03:01:34,27.7,73
2020-06-04 03:02:34,27.7,73
2020-06-04 03:03:34,27.6,73
2020-06-04 03:04:34,27.7,73
2020-06-04 03:05:34,27.6,73
2020-06-04 03:06:34,27.6,73
2020-06-04 03:07:34,27.6,73
2020-06-04 03:08:34,27.7,74
2020-06-04 03:09:34,27.7,74
2020-06-04 03:10:34,27.6,74
2020-06-04 03:11:34,27.7,74
2020-06-04 03:12:34,27.7,74
2020-06-04 03:13:34,27.7,74
2020-06-04 03:14:34,27.7,74
2020-06-04 03:15:34,27.6,74
2020-06-04 03:16:34,27.7,74
2020-06-04 03:17:34,27.7,74
2020-06-04 03:18:34,27.6,74
2020-06-04 03:19:34,27.6,74
2020-06-04 03:20:34,27.7,74
2020-06-04 03:21:34,27.7,74
2020-06-04 03:22:34,27.7,74
2020-06-04 03:23:34,27.6,74
2020-06-04 03:24:34,27.7,74
2020-06-04 03:25:34,27.7,74
2020-06-04 03:26:34,27.7,74
2020-06-04 03:27:34,27.7,74
2020-06-04 03:28:34,27.7,73
2020-06-04 03:29:34,27.7,73
2020-06-04 03:30:34,27.7,73
2020-06-04 03:31:34,27.7,73
2020-06-04 03:32:34,27.7,73
2020-06-04 03:33:34,27.7,73
2020-06-04 03:34:34,27.7,73
2020-06-04 03:35:34,27.7,73
2020-06-04 03:36:34,27.7,73
2020-06-04 03:37:34,27.7,73
2020-06-04 03:38:34,27.7,73
2020-06-04 03:39:34,27.7,73
2020-06-04 03:40:34,27.7,73
2020-06-04 03:41:34,27.7,74
2020-06-04 03:42:34,27.7,74
2020-06-04 03:43:34,27.7,74
2020-06-04 03:44:34,27.7,74
2020-06-04 03:45:34,27.7,74
2020-06-04 03:46:34,27.7,74
2020-06-04 03:47:34,27.7,74
2020-06-04 03:48:34,27.7,74
2020-06-04 03:49:34,27.7,74
2020-06-04 03:50:34,27.7,74
2020-06-04 03:51:34,27.7,74
2020-06-04 03:52:34,27.7,74
2020-06-04 03:53:34,27.7,74
2020-06-04 03:54:34,27.7,74
2020-06-04 03:55:34,27.7,74
2020-06-04 03:56:34,27.7,74
2020-06-04 03:57:34,27.7,74
2020-06-04 03:58:34,27.7,74
2020-06-04 03:59:34,27.7,74
2020-06-04 04:00:34,27.7,74
2020-06-04 04:01:34,27.7,74
2020-06-04 04:02:34,27.7,74
2020-06-04 04:03:34,27.7,74
2020-06-04 04:04:34,27.7,74
2020-06-04 04:05:34,27.7,74
2020-06-04 04:06:34,27.7,74
2020-06-04 04:07:34,27.7,74
2020-06-04 04:08:34,27.7,74
2020-06-04 04:09:34,27.7,74
2020-06-04 04:10:34,27.7,74
2020-06-04 04:11:34,27.7,74
2020-06-04 04:12:34,27.7,74
2020-06-04 04:13:34,27.7,74
2020-06-04 04:14:34,27.7,74
2020-06-04 04:15:34,27.7,74
